Venue ID,Place Type,Rating,Latitude,Longitude
4b5d90b4f964a520b66129e3,[102  52],4.6,13.82397955932214,100.58607845974018
4d672e6b5b376dcb20a26867,[62 49],3.3,13.900126268886762,100.5894298121423
4b56b245f964a520d31828e3,[59 49],4.2,13.937266241587608,100.60742836657344
4bce9519ef10952116688486,[ 50 102],1.6,13.869554800537715,100.60359323889315
4bc04e474cdfc9b649b39221,[102  33],2.1,13.891781499509696,100.59716860610698
4bc9c2013740b713a92b5f65,[ 99 102],4.8,13.867018955161315,100.56861270452173
4d64a7114306721e0a6385f9,[102  47],2.8,13.909065214841243,100.58170409081096
4ef6f49ed3e354f0bccc1273,[102 100],1.0,13.860785194683626,100.5641896753216
4d464727befe236a9f5807e3,[102  71],3.3,13.931548824452731,100.60250122011846
4f6c62ebe4b0a4e20e89070e,[102  21],4.3,13.906909714927464,100.58640065429954
4c7285960e23b1f7c9eb1ddc,[77 49],1.3,13.895513649916664,100.59492367492108
4ead3c566c250091a22738a1,[49 38],3.4,13.825628174928912,100.5830870993843
4e9f14cf6c25364827d3a71c,[49  6],1.3,13.848387221866366,100.55979647857004
4db23f08fa8c6bb2d0ad1427,[102  68],3.4,13.845276300036671,100.57452939095356
4e1f8f6118a88345f037b850,[102  14],4.4,13.860638460467648,100.59100841782124
4bfa9ab01134b713d0790fc9,[102  36],3.6,13.820072080074777,100.55121829546108
4e23c498d4c0d3259105c7da,[102  38],2.8,13.925632957271636,100.59757310470448
4d3d6b20d625224b707299fa,[102  86],3.3,13.892074384976745,100.58708589243152
4bacdfe1f964a52082143be3,[49  8],4.0,13.801624698232532,100.55567138974509
4c002040ceabb713d2ca8752,[41 49],1.5,13.834273678496269,100.55464964157494
4bc95599b6c49c7412638e91,[ 66 102],2.9,13.929434330123662,100.59090489228348
4e4882e962e148603b8ec08d,[102  62],3.1,13.831760967219337,100.57822735709938
4f02bf52775bec6b46366bf4,[22 49],4.8,13.807697337923912,100.55425439281794
4f8a97d5e4b04a075faa9e2e,[49 41],1.2,13.834195511221669,100.588646067219
4ddf792d8877e0877e5a0bc6,[79 49],3.9,13.85501070588839,100.59195082506312
4d86e8985e70224b5ab93f09,[ 86 102],1.1,13.878566439361094,100.58539067218176
4d7d7088645ea35df6bc58f8,[49 15],3.5,13.836441358864317,100.58926617832354
4b68092af964a520c0642be3,[102  31],2.1,13.83083836908158,100.55846199997134
4d60b9e01ee8721ee499ae21,[ 36 102],2.7,13.913825622456752,100.61359204634115
4dce210b1f6eb122707383ae,[88 49],3.9,13.82603867313119,100.5856471623761
4be515cf2468c928d5b3ff42,[102  41],2.2,13.886770945521196,100.5975564720042
4f0fca8ee4b09e589f5405b6,[ 79 102],2.8,13.833259488663492,100.56441256585984
4c6a4e7e897b1b8dc272b117,[ 49 106],4.5,13.809014100129223,100.57071717804602
4c38486b3849c9283a38bfb1,[ 52 102],4.5,13.86326873530814,100.56518366263138
4da04fb7784f37042d7296af,[102   2],3.3,13.859466440794042,100.5747367313298
4f93d9a2e4b0eba9521a3065,[49 32],3.9,13.847344653613018,100.56102366440132
4d6bb2d6c147721e037c44f5,[69 49],3.3,13.902481180970044,100.60580743312924
4ed9d81261af8a14b5a8f904,[ 56 102],1.7,13.816809843518886,100.57289558010264
4d1c6b841cb9a1436180ae2b,[102  36],1.5,13.816536179616335,100.57040301698838
4d7e001df635236a42685f16,[102  42],2.8,13.90798703157349,100.59862654391424
4db778481e7206c23cf49ded,[92 49],3.2,13.81483580692147,100.56542706938902
4f9a7025e4b0a3d1dacb9fd3,[49 94],4.7,13.8899539968783,100.59441004385192
4b6d4f3ff964a5206b702ce3,[100  49],1.1,13.870970213105313,100.5770656704117
4cd29638fa66236a0ee2eb2e,[49 60],2.3,13.80631277597757,100.55072171434897
4dfb12f2e4cd56793607cd99,[ 55 102],4.6,13.8916613442915,100.58076335424792
4c36940adfb0e21e826aaba8,[51 49],3.7,13.8600057785699,100.59500183540328
4c71bbbaad69b60c84df81b9,[ 6 49],2.7,13.890210402430656,100.60546507320028
4e7bd00e29c2e440a89b9068,[ 49 101],2.4,13.871616204632735,100.58155524021892
4c25a7dc136d20a14a0fe461,[65 49],2.7,13.834094882669234,100.56092689245996
4c833ce6d92ea093e1be5272,[ 35 102],1.2,13.803687973165063,100.5539175107491
4f535736e4b0c416055e8043,[  9 102],3.1,13.901639335304829,100.58328692301008
4e07947dd1640223a49def39,[102  15],1.6,13.909442189212704,100.58936765907626
4e96cb3a6da11364e6d7f758,[102  30],2.6,13.86046563775033,100.57239558297132
4db41206f7b121c29f43fc60,[49 95],1.8,13.891313453602695,100.57479682569635
4fb794f5e4b0636b70dc547c,[46 49],2.0,13.85288842024852,100.58651651445612
4fb0b487e4b0d39d53cb180f,[23 49],3.6,13.848310258249183,100.56337578988617
4da029b4784f3704cf4193af,[ 62 102],4.8,13.911930876849285,100.58637057252491
